fr;vi;Class;Ranking
bonjour;Chào;nom / danh từ;0
au revoir;Tạm biệt;;0
merci;Cảm ơn;nom / danh từ;0
de rien;Không có gì;;0
et;Và;conjonction /  liên hợp;1
être;là;verbe / động từ;2
avoir;để có;verbe / động từ;3
ne;sinh;adverbe / trạng từ;4
que;cái đó;conjonction / liên hợp;5
pas;không;adverbe / trạng từ;6
faire;làm;verbe / động từ;7
plus;hơn;adverbe / trạng từ;8
dire;nói;verbe / động từ;9
comme;như;conjonction / liên hợp;10
mais;Nhưng;conjonction / liên hợp;11
pouvoir;quyền lực;verbe / động từ;12
tout;Tất cả;adjectif / tính từ;13
aller;đi;verbe / động từ;14
voir;nhìn thấy;verbe / động từ;15
bien;tốt;adverbe / trạng từ;16
ou;Hoặc;conjonction / liên hợp;17
homme;người đàn ông;nom / danh từ;18
si;nếu như;adverbe / trạng từ;19
deux;hai;nombre / con số;0
mari;chồng;nom / danh từ;21
vouloir;muốn;verbe / động từ;22
femme;phụ nữ;nom / danh từ;23
venir;đến;verbe / động từ;24
quand;Khi;conjonction / liên hợp;25
grand;to lớn;adjectif / tính từ;26
si;nếu như;conjonction / liên hợp;27
devoir;nhiệm vụ;verbe / động từ;28
là;ở đó;adverbe / trạng từ;29
jour;ngày;nom / danh từ;30
prendre;lấy;verbe / động từ;31
même;thậm chí;adverbe / trạng từ;32
tout;Tất cả;adverbe / trạng từ;33
encore;Lại;adverbe / trạng từ;34
petit;nhỏ bé;adjectif / tính từ;35
aussi;Cũng;adverbe / trạng từ;36
mer;biển;nom / danh từ;37
trouver;tìm thấy;verbe / động từ;38
donner;đưa cho;verbe / động từ;39
temps;thời gian;nom / danh từ;40
peu;nhỏ bé;adverbe / trạng từ;41
même;thậm chí;adjectif / tính từ;42
falloir;cần;verbe / động từ;43
parler;nói chuyện;verbe / động từ;44
alors;vì thế;adverbe / trạng từ;45
main;tay;nom / danh từ;46
chose;điều;nom / danh từ;47
mettre;đặt;verbe / động từ;48
vie;mạng sống;nom / danh từ;49
savoir;biết;verbe / động từ;50
yeux;mắt;nom / danh từ;51
passer;vượt qua;verbe / động từ;52
autre;khác;adjectif / tính từ;53
regarder;Nhìn;verbe / động từ;54
toujours;luôn luôn;adverbe / trạng từ;55
puis;Sau đó;conjonction / liên hợp;56
jamais;Không bao giờ;adverbe / trạng từ;57
aimer;thích;verbe / động từ;58
non;không;adverbe / trạng từ;59
heure;giờ;nom / danh từ;60
croire;tin tưởng;verbe / động từ;61
cent;trăm;nombre / con số;0
monde;thế giới;nom / danh từ;63
donc;vậy nên;conjonction / liên hợp;64
enfant;đứa trẻ;nom / danh từ;65
fois;lần;nom / danh từ;66
seul;một mình;adjectif / tính từ;67
demander;hỏi;verbe / động từ;68
jeune;trẻ;adjectif / tính từ;69
très;rất;adverbe / trạng từ;70
moment;chốc lát;nom / danh từ;71
rester;ở lại;verbe / động từ;72
répondre;trả lời;verbe / động từ;73
entendre;nghe;verbe / động từ;74
tête;cái đầu;nom / danh từ;75
père;bố;nom / danh từ;76
fille;con gái;nom / danh từ;77
mille;nghìn;nombre / con số;0
premier;Đầu tiên;adjectif / tính từ;79
car;bởi vì;conjonction / liên hợp;80
ni;không;conjonction / liên hợp;81
bon;Tốt;adjectif / tính từ;82
trois;ba;nombre / con số;0
coeur;trái tim;nom / danh từ;84
ainsi;Do đó;adverbe / trạng từ;85
an;năm;nom / danh từ;86
quatre;bốn;nombre / con số;0
terre;trái đất;nom / danh từ;88
dieu;Chúa;nom / danh từ;89
monsieur;Thưa ngài;nom / danh từ;90
voix;tiếng nói;nom / danh từ;91
penser;nghĩ;verbe / động từ;92
quel;Gì;adjectif / tính từ;93
arriver;đến;verbe / động từ;94
maison;Căn nhà;nom / danh từ;95
onze;mười một;nombre / con số;0
treize;mười ba;nombre / con số;0
quatorze;mười bốn;nombre / con số;0
seize;mười sáu;nombre / con số;0
dix-sept;mười bảy;nombre / con số;0
dix-huit;mười tám;nombre / con số;0
dix-neuf;mười chín;nombre / con số;0
soixante;sáu mươi;nombre / con số;0
soixante-dix;bảy mươi;nombre / con số;0
quatre-vingts;tám mươi;nombre / con số;0
Quatre-vingt-dix;Chín mươi;nombre / con số;0
mille;nghìn;nombre / con số;0
coup;cắt;nom / danh từ;108
beau;xinh đẹp;adjectif / tính từ;109
connaître;để biết;verbe / động từ;110
devenir;trở nên;verbe / động từ;111
air;không khí;nom / danh từ;112
mot;từ;nom / danh từ;113
nuit;đêm;nom / danh từ;114
eau;Nước;nom / danh từ;115
sentir;cảm thấy;verbe / động từ;116
vieux;cũ;adjectif / tính từ;117
sembler;có vẻ;verbe / động từ;118
moins;ít hơn;adverbe / trạng từ;119
tenir;giữ;verbe / động từ;120
ici;đây;adverbe / trạng từ;121
comprendre;để hiểu;verbe / động từ;122
oui;Đúng;adverbe / trạng từ;123
rendre;đóng góp lại;verbe / động từ;124
vingt;hai mươi;nombre / con số;0
attendre;chờ đợi;verbe / động từ;126
sortir;đi ra ngoài;verbe / động từ;127
ami;bạn bè;nom / danh từ;128
trop;quá nhiều;adverbe / trạng từ;129
porte;cửa;nom / danh từ;130
amour;yêu;nom / danh từ;131
déjà;Đã;adverbe / trạng từ;132
pied;chân;nom / danh từ;133
tant;rất nhiều;adverbe / trạng từ;134
gens;mọi người;nom / danh từ;135
parce que;bởi vì;conjonction / liên hợp;136
